station,Latitude,Longitude,station_code,lat_idx,lon_idx
CENTRAL/WESTERN,22.284901897358164,114.14441687181709,CWA,14,34
KWAI CHUNG,22.35711768848827,114.12959388210052,KCA,22,32
KWUN TONG,22.30961768198228,114.23117526315664,KTA,17,43
NORTH,22.49669835648576,114.1282440834926,NRA,38,32
SOUTHERN,22.247471445349603,114.16013158508116,SA,10,36
SHAM SHUI PO,22.330244747250173,114.1591351965462,SSA,19,35
SHATIN,22.37627766231769,114.18452067395404,STA,24,38
TUNG CHUNG,22.28890092178939,113.94365790503804,TCA,15,12
TSEUNG KWAN O,22.31764378203778,114.25956276241934,TKA,18,47
TAP MUN,22.471336390546853,114.36072197205134,TMA,35,58
TUEN MUN,22.39115529710469,113.9767175926076,TUA,26,15
TAI PO,22.45094754324469,114.1645555962737,TPA,33,36
TSUEN WAN,22.371753313162028,114.11450855826708,TWA,24,31
YUEN LONG,22.44510264018287,114.0225285941624,YLA,32,20
CENTRAL,22.28179059149976,114.15812925195134,CTA,14,35
MONG KOK,22.32262497874888,114.16826777168689,MKA,18,36
CAUSEWAY BAY,22.280125319106936,114.18506211817244,CBA,14,38
